Sentence Index,Sentence,Word,POS Tag
8,তেওঁ খোৱা ধনিয়া পানীত।,পানীত।,UNK
9,তুমি কি বিদ্যালয়লৈ যাও?,তুমি,PRON
9,তুমি কি বিদ্যালয়লৈ যাও?,কি,PART
9,তুমি কি বিদ্যালয়লৈ যাও?,বিদ্যালয়লৈ,UNK
9,তুমি কি বিদ্যালয়লৈ যাও?,যাও?,UNK
10,তেওঁ খোৱা ধনিয়া পানীত।,তেওঁ,PRON
10,তেওঁ খোৱা ধনিয়া পানীত।,খোৱা,VERB
10,তেওঁ খোৱা ধনিয়া পানীত।,ধনিয়া,VERB
10,তেওঁ খোৱা ধনিয়া পানীত।,পানীত।,UNK
11,তেওঁবোৰ বাগিছাত ফুল লাগিছে।,তেওঁবোৰ,NOUN
11,তেওঁবোৰ বাগিছাত ফুল লাগিছে।,বাগিছাত,NOUN
11,তেওঁবোৰ বাগিছাত ফুল লাগিছে।,ফুল,VERB
11,তেওঁবোৰ বাগিছাত ফুল লাগিছে।,লাগিছে।,UNK
12,মৌচাকৰ মাজত মৌ থাকে।,মৌচাকৰ,NOUN
12,মৌচাকৰ মাজত মৌ থাকে।,মাজত,NOUN
12,মৌচাকৰ মাজত মৌ থাকে।,মৌ,UNK
12,মৌচাকৰ মাজত মৌ থাকে।,থাকে।,UNK
13,তুমি কি বিদ্যালয়লৈ যাও?,তুমি,PRON
13,তুমি কি বিদ্যালয়লৈ যাও?,কি,PART
13,তুমি কি বিদ্যালয়লৈ যাও?,বিদ্যালয়লৈ,UNK
13,তুমি কি বিদ্যালয়লৈ যাও?,যাও?,UNK
14,তুমি কি বিদ্যালয়লৈ যাও?,তুমি,PRON
14,তুমি কি বিদ্যালয়লৈ যাও?,কি,PART
14,তুমি কি বিদ্যালয়লৈ যাও?,বিদ্যালয়লৈ,UNK
14,তুমি কি বিদ্যালয়লৈ যাও?,যাও?,UNK
15,তুমি কি বিদ্যালয়লৈ যাও?,তুমি,PRON
15,তুমি কি বিদ্যালয়লৈ যাও?,কি,PART
15,তুমি কি বিদ্যালয়লৈ যাও?,বিদ্যালয়লৈ,UNK
15,তুমি কি বিদ্যালয়লৈ যাও?,যাও?,UNK
16,তেওঁ খোৱা ধনিয়া পানীত।,তেওঁ,PRON
16,তেওঁ খোৱা ধনিয়া পানীত।,খোৱা,VERB
16,তেওঁ খোৱা ধনিয়া পানীত।,ধনিয়া,VERB
16,তেওঁ খোৱা ধনিয়া পানীত।,পানীত।,UNK
17,আজিৰ দিনটো সুন্দৰ।,আজিৰ,NOUN
17,আজিৰ দিনটো সুন্দৰ।,দিনটো,UNK
17,আজিৰ দিনটো সুন্দৰ।,সুন্দৰ।,UNK
18,আমাৰ ঘৰখন বৰ ডাঙৰ।,আমাৰ,NOUN
18,আমাৰ ঘৰখন বৰ ডাঙৰ।,ঘৰখন,UNK
18,আমাৰ ঘৰখন বৰ ডাঙৰ।,বৰ,NOUN
18,আমাৰ ঘৰখন বৰ ডাঙৰ।,ডাঙৰ।,UNK
19,তেওঁবোৰ বাগিছাত ফুল লাগিছে।,তেওঁবোৰ,NOUN
19,তেওঁবোৰ বাগিছাত ফুল লাগিছে।,বাগিছাত,NOUN
19,তেওঁবোৰ বাগিছাত ফুল লাগিছে।,ফুল,VERB
19,তেওঁবোৰ বাগিছাত ফুল লাগিছে।,লাগিছে।,UNK
20,তেওঁ খোৱা ধনিয়া পানীত।,তেওঁ,PRON
20,তেওঁ খোৱা ধনিয়া পানীত।,খোৱা,VERB
20,তেওঁ খোৱা ধনিয়া পানীত।,ধনিয়া,VERB
20,তেওঁ খোৱা ধনিয়া পানীত।,পানীত।,UNK
21,তুমি কি বিদ্যালয়লৈ যাও?,তুমি,PRON
21,তুমি কি বিদ্যালয়লৈ যাও?,কি,PART
21,তুমি কি বিদ্যালয়লৈ যাও?,বিদ্যালয়লৈ,UNK
21,তুমি কি বিদ্যালয়লৈ যাও?,যাও?,UNK
22,শিলাদিত্য এটা ভাল মানুহ।,শিলাদিত্য,UNK
22,শিলাদিত্য এটা ভাল মানুহ।,এটা,NUM
22,শিলাদিত্য এটা ভাল মানুহ।,ভাল,VERB
22,শিলাদিত্য এটা ভাল মানুহ।,মানুহ।,UNK
23,শিলাদিত্য এটা ভাল মানুহ।,শিলাদিত্য,UNK
23,শিলাদিত্য এটা ভাল মানুহ।,এটা,NUM
23,শিলাদিত্য এটা ভাল মানুহ।,ভাল,VERB
23,শিলাদিত্য এটা ভাল মানুহ।,মানুহ।,UNK
24,তেওঁ খোৱা ধনিয়া পানীত।,তেওঁ,PRON
24,তেওঁ খোৱা ধনিয়া পানীত।,খোৱা,VERB
24,তেওঁ খোৱা ধনিয়া পানীত।,ধনিয়া,VERB
24,তেওঁ খোৱা ধনিয়া পানীত।,পানীত।,UNK
25,আমাৰ ঘৰখন বৰ ডাঙৰ।,আমাৰ,NOUN
25,আমাৰ ঘৰখন বৰ ডাঙৰ।,ঘৰখন,UNK
25,আমাৰ ঘৰখন বৰ ডাঙৰ।,বৰ,NOUN
25,আমাৰ ঘৰখন বৰ ডাঙৰ।,ডাঙৰ।,UNK
26,বাপেকৰ নাম ৰমেশ।,বাপেকৰ,NOUN
26,বাপেকৰ নাম ৰমেশ।,নাম,UNK
26,বাপেকৰ নাম ৰমেশ।,ৰমেশ।,UNK
27,আমাৰ ঘৰখন বৰ ডাঙৰ।,আমাৰ,NOUN
27,আমাৰ ঘৰখন বৰ ডাঙৰ।,ঘৰখন,UNK
27,আমাৰ ঘৰখন বৰ ডাঙৰ।,বৰ,NOUN
27,আমাৰ ঘৰখন বৰ ডাঙৰ।,ডাঙৰ।,UNK
28,বাপেকৰ নাম ৰমেশ।,বাপেকৰ,NOUN
28,বাপেকৰ নাম ৰমেশ।,নাম,UNK
28,বাপেকৰ নাম ৰমেশ।,ৰমেশ।,UNK
29,তেওঁবোৰ বাগিছাত ফুল লাগিছে।,তেওঁবোৰ,NOUN
29,তেওঁবোৰ বাগিছাত ফুল লাগিছে।,বাগিছাত,NOUN
29,তেওঁবোৰ বাগিছাত ফুল লাগিছে।,ফুল,VERB
29,তেওঁবোৰ বাগিছাত ফুল লাগিছে।,লাগিছে।,UNK
30,শিলাদিত্য এটা ভাল মানুহ।,শিলাদিত্য,UNK
30,শিলাদিত্য এটা ভাল মানুহ।,এটা,NUM
30,শিলাদিত্য এটা ভাল মানুহ।,ভাল,VERB
30,শিলাদিত্য এটা ভাল মানুহ।,মানুহ।,UNK
31,মই বিয়লি চাহ খাব।,মই,PRON
31,মই বিয়লি চাহ খাব।,বিয়লি,VERB
31,মই বিয়লি চাহ খাব।,চাহ,UNK
31,মই বিয়লি চাহ খাব।,খাব।,UNK
32,তুমি কি বিদ্যালয়লৈ যাও?,তুমি,PRON
32,তুমি কি বিদ্যালয়লৈ যাও?,কি,PART
32,তুমি কি বিদ্যালয়লৈ যাও?,বিদ্যালয়লৈ,UNK
32,তুমি কি বিদ্যালয়লৈ যাও?,যাও?,UNK
33,ৰমা আৰু শ্যাম বিদ্যালয়লৈ গৈছিল।,ৰমা,VERB
33,ৰমা আৰু শ্যাম বিদ্যালয়লৈ গৈছিল।,আৰু,CONJ
33,ৰমা আৰু শ্যাম বিদ্যালয়লৈ গৈছিল।,শ্যাম,UNK
33,ৰমা আৰু শ্যাম বিদ্যালয়লৈ গৈছিল।,বিদ্যালয়লৈ,UNK
33,ৰমা আৰু শ্যাম বিদ্যালয়লৈ গৈছিল।,গৈছিল।,UNK
34,তেওঁ খোৱা ধনিয়া পানীত।,তেওঁ,PRON
34,তেওঁ খোৱা ধনিয়া পানীত।,খোৱা,VERB
34,তেওঁ খোৱা ধনিয়া পানীত।,ধনিয়া,VERB
34,তেওঁ খোৱা ধনিয়া পানীত।,পানীত।,UNK
35,আজিৰ দিনটো সুন্দৰ।,আজিৰ,NOUN
35,আজিৰ দিনটো সুন্দৰ।,দিনটো,UNK
35,আজিৰ দিনটো সুন্দৰ।,সুন্দৰ।,UNK
36,শিলাদিত্য এটা ভাল মানুহ।,শিলাদিত্য,UNK
36,শিলাদিত্য এটা ভাল মানুহ।,এটা,NUM
36,শিলাদিত্য এটা ভাল মানুহ।,ভাল,VERB
36,শিলাদিত্য এটা ভাল মানুহ।,মানুহ।,UNK
37,আজিৰ দিনটো সুন্দৰ।,আজিৰ,NOUN
37,আজিৰ দিনটো সুন্দৰ।,দিনটো,UNK
37,আজিৰ দিনটো সুন্দৰ।,সুন্দৰ।,UNK
38,তেওঁ খোৱা ধনিয়া পানীত।,তেওঁ,PRON
38,তেওঁ খোৱা ধনিয়া পানীত।,খোৱা,VERB
38,তেওঁ খোৱা ধনিয়া পানীত।,ধনিয়া,VERB
38,তেওঁ খোৱা ধনিয়া পানীত।,পানীত।,UNK
39,বাপেকৰ নাম ৰমেশ।,বাপেকৰ,NOUN
39,বাপেকৰ নাম ৰমেশ।,নাম,UNK
39,বাপেকৰ নাম ৰমেশ।,ৰমেশ।,UNK
40,মই বিয়লি চাহ খাব।,মই,PRON
40,মই বিয়লি চাহ খাব।,বিয়লি,VERB
40,মই বিয়লি চাহ খাব।,চাহ,UNK
40,মই বিয়লি চাহ খাব।,খাব।,UNK
41,ৰমা আৰু শ্যাম বিদ্যালয়লৈ গৈছিল।,ৰমা,VERB
41,ৰমা আৰু শ্যাম বিদ্যালয়লৈ গৈছিল।,আৰু,CONJ
41,ৰমা আৰু শ্যাম বিদ্যালয়লৈ গৈছিল।,শ্যাম,UNK
41,ৰমা আৰু শ্যাম বিদ্যালয়লৈ গৈছিল।,বিদ্যালয়লৈ,UNK
41,ৰমা আৰু শ্যাম বিদ্যালয়লৈ গৈছিল।,গৈছিল।,UNK
42,মই বিয়লি চাহ খাব।,মই,PRON
42,মই বিয়লি চাহ খাব।,বিয়লি,VERB
42,মই বিয়লি চাহ খাব।,চাহ,UNK
42,মই বিয়লি চাহ খাব।,খাব।,UNK
43,তুমি কি বিদ্যালয়লৈ যাও?,তুমি,PRON
43,তুমি কি বিদ্যালয়লৈ যাও?,কি,PART
43,তুমি কি বিদ্যালয়লৈ যাও?,বিদ্যালয়লৈ,UNK
43,তুমি কি বিদ্যালয়লৈ যাও?,যাও?,UNK
44,বাপেকৰ নাম ৰমেশ।,বাপেকৰ,NOUN
44,বাপেকৰ নাম ৰমেশ।,নাম,UNK
44,বাপেকৰ নাম ৰমেশ।,ৰমেশ।,UNK
45,ৰমা আৰু শ্যাম বিদ্যালয়লৈ গৈছিল।,ৰমা,VERB
45,ৰমা আৰু শ্যাম বিদ্যালয়লৈ গৈছিল।,আৰু,CONJ
45,ৰমা আৰু শ্যাম বিদ্যালয়লৈ গৈছিল।,শ্যাম,UNK
45,ৰমা আৰু শ্যাম বিদ্যালয়লৈ গৈছিল।,বিদ্যালয়লৈ,UNK
45,ৰমা আৰু শ্যাম বিদ্যালয়লৈ গৈছিল।,গৈছিল।,UNK
46,তেওঁবোৰ বাগিছাত ফুল লাগিছে।,তেওঁবোৰ,NOUN
46,তেওঁবোৰ বাগিছাত ফুল লাগিছে।,বাগিছাত,NOUN
46,তেওঁবোৰ বাগিছাত ফুল লাগিছে।,ফুল,VERB
46,তেওঁবোৰ বাগিছাত ফুল লাগিছে।,লাগিছে।,UNK
47,তেওঁ খোৱা ধনিয়া পানীত।,তেওঁ,PRON
47,তেওঁ খোৱা ধনিয়া পানীত।,খোৱা,VERB
47,তেওঁ খোৱা ধনিয়া পানীত।,ধনিয়া,VERB
47,তেওঁ খোৱা ধনিয়া পানীত।,পানীত।,UNK
48,তেওঁ খোৱা ধনিয়া পানীত।,তেওঁ,PRON
48,তেওঁ খোৱা ধনিয়া পানীত।,খোৱা,VERB
48,তেওঁ খোৱা ধনিয়া পানীত।,ধনিয়া,VERB
48,তেওঁ খোৱা ধনিয়া পানীত।,পানীত।,UNK
49,আজিৰ দিনটো সুন্দৰ।,আজিৰ,NOUN
49,আজিৰ দিনটো সুন্দৰ।,দিনটো,UNK
49,আজিৰ দিনটো সুন্দৰ।,সুন্দৰ।,UNK
50,তেওঁ খোৱা ধনিয়া পানীত।,তেওঁ,PRON
50,তেওঁ খোৱা ধনিয়া পানীত।,খোৱা,VERB
50,তেওঁ খোৱা ধনিয়া পানীত।,ধনিয়া,VERB
50,তেওঁ খোৱা ধনিয়া পানীত।,পানীত।,UNK
51,মই বিয়লি চাহ খাব।,মই,PRON
51,মই বিয়লি চাহ খাব।,বিয়লি,VERB
51,মই বিয়লি চাহ খাব।,চাহ,UNK
51,মই বিয়লি চাহ খাব।,খাব।,UNK
52,আমাৰ ঘৰখন বৰ ডাঙৰ।,আমাৰ,NOUN
52,আমাৰ ঘৰখন বৰ ডাঙৰ।,ঘৰখন,UNK
52,আমাৰ ঘৰখন বৰ ডাঙৰ।,বৰ,NOUN
52,আমাৰ ঘৰখন বৰ ডাঙৰ।,ডাঙৰ।,UNK
53,ৰমা আৰু শ্যাম বিদ্যালয়লৈ গৈছিল।,ৰমা,VERB
53,ৰমা আৰু শ্যাম বিদ্যালয়লৈ গৈছিল।,আৰু,CONJ
53,ৰমা আৰু শ্যাম বিদ্যালয়লৈ গৈছিল।,শ্যাম,UNK
53,ৰমা আৰু শ্যাম বিদ্যালয়লৈ গৈছিল।,বিদ্যালয়লৈ,UNK
53,ৰমা আৰু শ্যাম বিদ্যালয়লৈ গৈছিল।,গৈছিল।,UNK
54,আমাৰ ঘৰখন বৰ ডাঙৰ।,আমাৰ,NOUN
54,আমাৰ ঘৰখন বৰ ডাঙৰ।,ঘৰখন,UNK
54,আমাৰ ঘৰখন বৰ ডাঙৰ।,বৰ,NOUN
54,আমাৰ ঘৰখন বৰ ডাঙৰ।,ডাঙৰ।,UNK
55,ৰমা আৰু শ্যাম বিদ্যালয়লৈ গৈছিল।,ৰমা,VERB
55,ৰমা আৰু শ্যাম বিদ্যালয়লৈ গৈছিল।,আৰু,CONJ
55,ৰমা আৰু শ্যাম বিদ্যালয়লৈ গৈছিল।,শ্যাম,UNK
55,ৰমা আৰু শ্যাম বিদ্যালয়লৈ গৈছিল।,বিদ্যালয়লৈ,UNK
55,ৰমা আৰু শ্যাম বিদ্যালয়লৈ গৈছিল।,গৈছিল।,UNK
56,বাপেকৰ নাম ৰমেশ।,বাপেকৰ,NOUN
56,বাপেকৰ নাম ৰমেশ।,নাম,UNK
56,বাপেকৰ নাম ৰমেশ।,ৰমেশ।,UNK
57,মই বিয়লি চাহ খাব।,মই,PRON
57,মই বিয়লি চাহ খাব।,বিয়লি,VERB
57,মই বিয়লি চাহ খাব।,চাহ,UNK
57,মই বিয়লি চাহ খাব।,খাব।,UNK
58,ৰমা আৰু শ্যাম বিদ্যালয়লৈ গৈছিল।,ৰমা,VERB
58,ৰমা আৰু শ্যাম বিদ্যালয়লৈ গৈছিল।,আৰু,CONJ
58,ৰমা আৰু শ্যাম বিদ্যালয়লৈ গৈছিল।,শ্যাম,UNK
58,ৰমা আৰু শ্যাম বিদ্যালয়লৈ গৈছিল।,বিদ্যালয়লৈ,UNK
58,ৰমা আৰু শ্যাম বিদ্যালয়লৈ গৈছিল।,গৈছিল।,UNK
59,তেওঁ খোৱা ধনিয়া পানীত।,তেওঁ,PRON
59,তেওঁ খোৱা ধনিয়া পানীত।,খোৱা,VERB
59,তেওঁ খোৱা ধনিয়া পানীত।,ধনিয়া,VERB
59,তেওঁ খোৱা ধনিয়া পানীত।,পানীত।,UNK
60,আজিৰ দিনটো সুন্দৰ।,আজিৰ,NOUN
60,আজিৰ দিনটো সুন্দৰ।,দিনটো,UNK
60,আজিৰ দিনটো সুন্দৰ।,সুন্দৰ।,UNK
61,তেওঁ খোৱা ধনিয়া পানীত।,তেওঁ,PRON
61,তেওঁ খোৱা ধনিয়া পানীত।,খোৱা,VERB
61,তেওঁ খোৱা ধনিয়া পানীত।,ধনিয়া,VERB
61,তেওঁ খোৱা ধনিয়া পানীত।,পানীত।,UNK
62,বাপেকৰ নাম ৰমেশ।,বাপেকৰ,NOUN
62,বাপেকৰ নাম ৰমেশ।,নাম,UNK
62,বাপেকৰ নাম ৰমেশ।,ৰমেশ।,UNK
63,মই বিয়লি চাহ খাব।,মই,PRON
63,মই বিয়লি চাহ খাব।,বিয়লি,VERB
63,মই বিয়লি চাহ খাব।,চাহ,UNK
63,মই বিয়লি চাহ খাব।,খাব।,UNK
64,শিলাদিত্য এটা ভাল মানুহ।,শিলাদিত্য,UNK
64,শিলাদিত্য এটা ভাল মানুহ।,এটা,NUM
64,শিলাদিত্য এটা ভাল মানুহ।,ভাল,VERB
64,শিলাদিত্য এটা ভাল মানুহ।,মানুহ।,UNK
65,তেওঁবোৰ বাগিছাত ফুল লাগিছে।,তেওঁবোৰ,NOUN
65,তেওঁবোৰ বাগিছাত ফুল লাগিছে।,বাগিছাত,NOUN
65,তেওঁবোৰ বাগিছাত ফুল লাগিছে।,ফুল,VERB
65,তেওঁবোৰ বাগিছাত ফুল লাগিছে।,লাগিছে।,UNK
66,শিলাদিত্য এটা ভাল মানুহ।,শিলাদিত্য,UNK
66,শিলাদিত্য এটা ভাল মানুহ।,এটা,NUM
66,শিলাদিত্য এটা ভাল মানুহ।,ভাল,VERB
66,শিলাদিত্য এটা ভাল মানুহ।,মানুহ।,UNK
67,মৌচাকৰ মাজত মৌ থাকে।,মৌচাকৰ,NOUN
67,মৌচাকৰ মাজত মৌ থাকে।,মাজত,NOUN
67,মৌচাকৰ মাজত মৌ থাকে।,মৌ,UNK
67,মৌচাকৰ মাজত মৌ থাকে।,থাকে।,UNK
68,আজিৰ দিনটো সুন্দৰ।,আজিৰ,NOUN
68,আজিৰ দিনটো সুন্দৰ।,দিনটো,UNK
68,আজিৰ দিনটো সুন্দৰ।,সুন্দৰ।,UNK
69,ৰমা আৰু শ্যাম বিদ্যালয়লৈ গৈছিল।,ৰমা,VERB
69,ৰমা আৰু শ্যাম বিদ্যালয়লৈ গৈছিল।,আৰু,CONJ
69,ৰমা আৰু শ্যাম বিদ্যালয়লৈ গৈছিল।,শ্যাম,UNK
69,ৰমা আৰু শ্যাম বিদ্যালয়লৈ গৈছিল।,বিদ্যালয়লৈ,UNK
69,ৰমা আৰু শ্যাম বিদ্যালয়লৈ গৈছিল।,গৈছিল।,UNK
70,তেওঁবোৰ বাগিছাত ফুল লাগিছে।,তেওঁবোৰ,NOUN
70,তেওঁবোৰ বাগিছাত ফুল লাগিছে।,বাগিছাত,NOUN
70,তেওঁবোৰ বাগিছাত ফুল লাগিছে।,ফুল,VERB
70,তেওঁবোৰ বাগিছাত ফুল লাগিছে।,লাগিছে।,UNK
71,আজিৰ দিনটো সুন্দৰ।,আজিৰ,NOUN
71,আজিৰ দিনটো সুন্দৰ।,দিনটো,UNK
71,আজিৰ দিনটো সুন্দৰ।,সুন্দৰ।,UNK
72,শিলাদিত্য এটা ভাল মানুহ।,শিলাদিত্য,UNK
72,শিলাদিত্য এটা ভাল মানুহ।,এটা,NUM
72,শিলাদিত্য এটা ভাল মানুহ।,ভাল,VERB
72,শিলাদিত্য এটা ভাল মানুহ।,মানুহ।,UNK
73,বাপেকৰ নাম ৰমেশ।,বাপেকৰ,NOUN
73,বাপেকৰ নাম ৰমেশ।,নাম,UNK
73,বাপেকৰ নাম ৰমেশ।,ৰমেশ।,UNK
74,বাপেকৰ নাম ৰমেশ।,বাপেকৰ,NOUN
74,বাপেকৰ নাম ৰমেশ।,নাম,UNK
74,বাপেকৰ নাম ৰমেশ।,ৰমেশ।,UNK
75,তেওঁবোৰ বাগিছাত ফুল লাগিছে।,তেওঁবোৰ,NOUN
75,তেওঁবোৰ বাগিছাত ফুল লাগিছে।,বাগিছাত,NOUN
75,তেওঁবোৰ বাগিছাত ফুল লাগিছে।,ফুল,VERB
75,তেওঁবোৰ বাগিছাত ফুল লাগিছে।,লাগিছে।,UNK
76,ৰমা আৰু শ্যাম বিদ্যালয়লৈ গৈছিল।,ৰমা,VERB
76,ৰমা আৰু শ্যাম বিদ্যালয়লৈ গৈছিল।,আৰু,CONJ
76,ৰমা আৰু শ্যাম বিদ্যালয়লৈ গৈছিল।,শ্যাম,UNK
76,ৰমা আৰু শ্যাম বিদ্যালয়লৈ গৈছিল।,বিদ্যালয়লৈ,UNK
76,ৰমা আৰু শ্যাম বিদ্যালয়লৈ গৈছিল।,গৈছিল।,UNK
77,মই বিয়লি চাহ খাব।,মই,PRON
77,মই বিয়লি চাহ খাব।,বিয়লি,VERB
77,মই বিয়লি চাহ খাব।,চাহ,UNK
77,মই বিয়লি চাহ খাব।,খাব।,UNK
78,তেওঁ খোৱা ধনিয়া পানীত।,তেওঁ,PRON
78,তেওঁ খোৱা ধনিয়া পানীত।,খোৱা,VERB
78,তেওঁ খোৱা ধনিয়া পানীত।,ধনিয়া,VERB
78,তেওঁ খোৱা ধনিয়া পানীত।,পানীত।,UNK
79,আমাৰ ঘৰখন বৰ ডাঙৰ।,আমাৰ,NOUN
79,আমাৰ ঘৰখন বৰ ডাঙৰ।,ঘৰখন,UNK
79,আমাৰ ঘৰখন বৰ ডাঙৰ।,বৰ,NOUN
79,আমাৰ ঘৰখন বৰ ডাঙৰ।,ডাঙৰ।,UNK
80,মই বিয়লি চাহ খাব।,মই,PRON
80,মই বিয়লি চাহ খাব।,বিয়লি,VERB
80,মই বিয়লি চাহ খাব।,চাহ,UNK
80,মই বিয়লি চাহ খাব।,খাব।,UNK
81,মৌচাকৰ মাজত মৌ থাকে।,মৌচাকৰ,NOUN
81,মৌচাকৰ মাজত মৌ থাকে।,মাজত,NOUN
81,মৌচাকৰ মাজত মৌ থাকে।,মৌ,UNK
81,মৌচাকৰ মাজত মৌ থাকে।,থাকে।,UNK
82,তুমি কি বিদ্যালয়লৈ যাও?,তুমি,PRON
82,তুমি কি বিদ্যালয়লৈ যাও?,কি,PART
82,তুমি কি বিদ্যালয়লৈ যাও?,বিদ্যালয়লৈ,UNK
82,তুমি কি বিদ্যালয়লৈ যাও?,যাও?,UNK
83,মৌচাকৰ মাজত মৌ থাকে।,মৌচাকৰ,NOUN
83,মৌচাকৰ মাজত মৌ থাকে।,মাজত,NOUN
83,মৌচাকৰ মাজত মৌ থাকে।,মৌ,UNK
83,মৌচাকৰ মাজত মৌ থাকে।,থাকে।,UNK
84,শিলাদিত্য এটা ভাল মানুহ।,শিলাদিত্য,UNK
84,শিলাদিত্য এটা ভাল মানুহ।,এটা,NUM
84,শিলাদিত্য এটা ভাল মানুহ।,ভাল,VERB
84,শিলাদিত্য এটা ভাল মানুহ।,মানুহ।,UNK
85,আজিৰ দিনটো সুন্দৰ।,আজিৰ,NOUN
85,আজিৰ দিনটো সুন্দৰ।,দিনটো,UNK
85,আজিৰ দিনটো সুন্দৰ।,সুন্দৰ।,UNK
86,শিলাদিত্য এটা ভাল মানুহ।,শিলাদিত্য,UNK
86,শিলাদিত্য এটা ভাল মানুহ।,এটা,NUM
86,শিলাদিত্য এটা ভাল মানুহ।,ভাল,VERB
86,শিলাদিত্য এটা ভাল মানুহ।,মানুহ।,UNK
87,মৌচাকৰ মাজত মৌ থাকে।,মৌচাকৰ,NOUN
87,মৌচাকৰ মাজত মৌ থাকে।,মাজত,NOUN
87,মৌচাকৰ মাজত মৌ থাকে।,মৌ,UNK
87,মৌচাকৰ মাজত মৌ থাকে।,থাকে।,UNK
88,বাপেকৰ নাম ৰমেশ।,বাপেকৰ,NOUN
88,বাপেকৰ নাম ৰমেশ।,নাম,UNK
88,বাপেকৰ নাম ৰমেশ।,ৰমেশ।,UNK
89,মই বিয়লি চাহ খাব।,মই,PRON
89,মই বিয়লি চাহ খাব।,বিয়লি,VERB
89,মই বিয়লি চাহ খাব।,চাহ,UNK
89,মই বিয়লি চাহ খাব।,খাব।,UNK
90,তুমি কি বিদ্যালয়লৈ যাও?,তুমি,PRON
90,তুমি কি বিদ্যালয়লৈ যাও?,কি,PART
90,তুমি কি বিদ্যালয়লৈ যাও?,বিদ্যালয়লৈ,UNK
90,তুমি কি বিদ্যালয়লৈ যাও?,যাও?,UNK
91,আমাৰ ঘৰখন বৰ ডাঙৰ।,আমাৰ,NOUN
91,আমাৰ ঘৰখন বৰ ডাঙৰ।,ঘৰখন,UNK
91,আমাৰ ঘৰখন বৰ ডাঙৰ।,বৰ,NOUN
91,আমাৰ ঘৰখন বৰ ডাঙৰ।,ডাঙৰ।,UNK
92,তেওঁবোৰ বাগিছাত ফুল লাগিছে।,তেওঁবোৰ,NOUN
92,তেওঁবোৰ বাগিছাত ফুল লাগিছে।,বাগিছাত,NOUN
92,তেওঁবোৰ বাগিছাত ফুল লাগিছে।,ফুল,VERB
92,তেওঁবোৰ বাগিছাত ফুল লাগিছে।,লাগিছে।,UNK
93,আমাৰ ঘৰখন বৰ ডাঙৰ।,আমাৰ,NOUN
93,আমাৰ ঘৰখন বৰ ডাঙৰ।,ঘৰখন,UNK
93,আমাৰ ঘৰখন বৰ ডাঙৰ।,বৰ,NOUN
93,আমাৰ ঘৰখন বৰ ডাঙৰ।,ডাঙৰ।,UNK
94,শিলাদিত্য এটা ভাল মানুহ।,শিলাদিত্য,UNK
94,শিলাদিত্য এটা ভাল মানুহ।,এটা,NUM
94,শিলাদিত্য এটা ভাল মানুহ।,ভাল,VERB
94,শিলাদিত্য এটা ভাল মানুহ।,মানুহ।,UNK
95,মৌচাকৰ মাজত মৌ থাকে।,মৌচাকৰ,NOUN
95,মৌচাকৰ মাজত মৌ থাকে।,মাজত,NOUN
95,মৌচাকৰ মাজত মৌ থাকে।,মৌ,UNK
95,মৌচাকৰ মাজত মৌ থাকে।,থাকে।,UNK
