Sentence Index,Sentence,Incorrect Sentence
81,মৌচাকৰ মাজত মৌ থাকে।,মৌচাকৰ মাজত মৌ থাকে।
82,তুমি কি বিদ্যালয়লৈ যাও?,তেওঁ কি বিদ্যালয়লৈ যাও?
82,তুমি কি বিদ্যালয়লৈ যাও?,মই কি বিদ্যালয়লৈ যাও?
83,মৌচাকৰ মাজত মৌ থাকে।,মৌচাকৰ মাজত মৌ থাকে।
84,শিলাদিত্য এটা ভাল মানুহ।,শিলাদিত্য এটা ভাল মানুহ।
85,আজিৰ দিনটো সুন্দৰ।,আজিৰ দিনটো সুন্দৰ।
86,শিলাদিত্য এটা ভাল মানুহ।,শিলাদিত্য এটা ভাল মানুহ।
87,মৌচাকৰ মাজত মৌ থাকে।,মৌচাকৰ মাজত মৌ থাকে।
88,বাপেকৰ নাম ৰমেশ।,বাপেকৰ নাম ৰমেশ।
89,মই বিয়লি চাহ খাব।,আপুনি বিয়লি চাহ খাব।
89,মই বিয়লি চাহ খাব।,তেওঁলোকে বিয়লি চাহ খাব।
89,মই বিয়লি চাহ খাব।,তোমাৰ বিয়লি চাহ খাব।
90,তুমি কি বিদ্যালয়লৈ যাও?,মই কি বিদ্যালয়লৈ যাও?
90,তুমি কি বিদ্যালয়লৈ যাও?,তেওঁলোকে কি বিদ্যালয়লৈ যাও?
90,তুমি কি বিদ্যালয়লৈ যাও?,তোমাৰ কি বিদ্যালয়লৈ যাও?
91,আমাৰ ঘৰখন বৰ ডাঙৰ।,আমাৰ ঘৰখন বৰ ডাঙৰ।
92,তেওঁবোৰ বাগিছাত ফুল লাগিছে।,তেওঁবোৰ বাগিছাত ফুল লাগিছে।
93,আমাৰ ঘৰখন বৰ ডাঙৰ।,আমাৰ ঘৰখন বৰ ডাঙৰ।
94,শিলাদিত্য এটা ভাল মানুহ।,শিলাদিত্য এটা ভাল মানুহ।
95,মৌচাকৰ মাজত মৌ থাকে।,মৌচাকৰ মাজত মৌ থাকে।
96,তেওঁবোৰ বাগিছাত ফুল লাগিছে।,তেওঁবোৰ বাগিছাত ফুল লাগিছে।
97,বাপেকৰ নাম ৰমেশ।,বাপেকৰ নাম ৰমেশ।
98,আজিৰ দিনটো সুন্দৰ।,আজিৰ দিনটো সুন্দৰ।
99,মৌচাকৰ মাজত মৌ থাকে।,মৌচাকৰ মাজত মৌ থাকে।
100,আজিৰ দিনটো সুন্দৰ।,আজিৰ দিনটো সুন্দৰ।
101,বাপেকৰ নাম ৰমেশ।,বাপেকৰ নাম ৰমেশ।
102,বাপেকৰ নাম ৰমেশ।,বাপেকৰ নাম ৰমেশ।
103,তেওঁবোৰ বাগিছাত ফুল লাগিছে।,তেওঁবোৰ বাগিছাত ফুল লাগিছে।
104,আজিৰ দিনটো সুন্দৰ।,আজিৰ দিনটো সুন্দৰ।
105,মই বিয়লি চাহ খাব।,তুমি বিয়লি চাহ খাব।
105,মই বিয়লি চাহ খাব।,আপুনি বিয়লি চাহ খাব।
105,মই বিয়লি চাহ খাব।,তোমাৰ বিয়লি চাহ খাব।
106,মই বিয়লি চাহ খাব।,আপুনি বিয়লি চাহ খাব।
106,মই বিয়লি চাহ খাব।,তুমি বিয়লি চাহ খাব।
106,মই বিয়লি চাহ খাব।,তেওঁ বিয়লি চাহ খাব।
106,মই বিয়লি চাহ খাব।,তোমাৰ বিয়লি চাহ খাব।
107,ৰমা আৰু শ্যাম বিদ্যালয়লৈ গৈছিল।,ৰমা আৰু শ্যাম বিদ্যালয়লৈ গৈছিল।
108,আমাৰ ঘৰখন বৰ ডাঙৰ।,আমাৰ ঘৰখন বৰ ডাঙৰ।
109,মই বিয়লি চাহ খাব।,তেওঁ বিয়লি চাহ খাব।
109,মই বিয়লি চাহ খাব।,আপুনি বিয়লি চাহ খাব।
109,মই বিয়লি চাহ খাব।,তুমি বিয়লি চাহ খাব।
110,মৌচাকৰ মাজত মৌ থাকে।,মৌচাকৰ মাজত মৌ থাকে।
111,মৌচাকৰ মাজত মৌ থাকে।,মৌচাকৰ মাজত মৌ থাকে।
112,মই বিয়লি চাহ খাব।,তেওঁ বিয়লি চাহ খাব।
112,মই বিয়লি চাহ খাব।,তুমি বিয়লি চাহ খাব।
112,মই বিয়লি চাহ খাব।,তেওঁলোকে বিয়লি চাহ খাব।
112,মই বিয়লি চাহ খাব।,তোমাৰ বিয়লি চাহ খাব।
113,তুমি কি বিদ্যালয়লৈ যাও?,তোমাৰ কি বিদ্যালয়লৈ যাও?
113,তুমি কি বিদ্যালয়লৈ যাও?,তেওঁ কি বিদ্যালয়লৈ যাও?
114,বাপেকৰ নাম ৰমেশ।,বাপেকৰ নাম ৰমেশ।
115,শিলাদিত্য এটা ভাল মানুহ।,শিলাদিত্য এটা ভাল মানুহ।
116,মৌচাকৰ মাজত মৌ থাকে।,মৌচাকৰ মাজত মৌ থাকে।
117,তেওঁবোৰ বাগিছাত ফুল লাগিছে।,তেওঁবোৰ বাগিছাত ফুল লাগিছে।
118,শিলাদিত্য এটা ভাল মানুহ।,শিলাদিত্য এটা ভাল মানুহ।
119,মৌচাকৰ মাজত মৌ থাকে।,মৌচাকৰ মাজত মৌ থাকে।
120,তুমি কি বিদ্যালয়লৈ যাও?,তেওঁ কি বিদ্যালয়লৈ যাও?
120,তুমি কি বিদ্যালয়লৈ যাও?,তেওঁলোকে কি বিদ্যালয়লৈ যাও?
120,তুমি কি বিদ্যালয়লৈ যাও?,তোমাৰ কি বিদ্যালয়লৈ যাও?
121,বাপেকৰ নাম ৰমেশ।,বাপেকৰ নাম ৰমেশ।
122,মই বিয়লি চাহ খাব।,তুমি বিয়লি চাহ খাব।
122,মই বিয়লি চাহ খাব।,তেওঁ বিয়লি চাহ খাব।
122,মই বিয়লি চাহ খাব।,তোমাৰ বিয়লি চাহ খাব।
123,মই বিয়লি চাহ খাব।,তেওঁলোকে বিয়লি চাহ খাব।
123,মই বিয়লি চাহ খাব।,আপুনি বিয়লি চাহ খাব।
124,তুমি কি বিদ্যালয়লৈ যাও?,তোমাৰ কি বিদ্যালয়লৈ যাও?
124,তুমি কি বিদ্যালয়লৈ যাও?,তেওঁলোকে কি বিদ্যালয়লৈ যাও?
124,তুমি কি বিদ্যালয়লৈ যাও?,তেওঁ কি বিদ্যালয়লৈ যাও?
125,মই বিয়লি চাহ খাব।,আপুনি বিয়লি চাহ খাব।
125,মই বিয়লি চাহ খাব।,তেওঁলোকে বিয়লি চাহ খাব।
125,মই বিয়লি চাহ খাব।,তুমি বিয়লি চাহ খাব।
126,ৰমা আৰু শ্যাম বিদ্যালয়লৈ গৈছিল।,ৰমা আৰু শ্যাম বিদ্যালয়লৈ গৈছিল।
127,আমাৰ ঘৰখন বৰ ডাঙৰ।,আমাৰ ঘৰখন বৰ ডাঙৰ।
128,আজিৰ দিনটো সুন্দৰ।,আজিৰ দিনটো সুন্দৰ।
129,শিলাদিত্য এটা ভাল মানুহ।,শিলাদিত্য এটা ভাল মানুহ।
130,মই বিয়লি চাহ খাব।,তুমি বিয়লি চাহ খাব।
130,মই বিয়লি চাহ খাব।,তেওঁলোকে বিয়লি চাহ খাব।
130,মই বিয়লি চাহ খাব।,তেওঁ বিয়লি চাহ খাব।
131,বাপেকৰ নাম ৰমেশ।,বাপেকৰ নাম ৰমেশ।
132,শিলাদিত্য এটা ভাল মানুহ।,শিলাদিত্য এটা ভাল মানুহ।
133,বাপেকৰ নাম ৰমেশ।,বাপেকৰ নাম ৰমেশ।
134,বাপেকৰ নাম ৰমেশ।,বাপেকৰ নাম ৰমেশ।
135,তেওঁ খোৱা ধনিয়া পানীত।,তোৰ খোৱা ধনিয়া পানীত।
135,তেওঁ খোৱা ধনিয়া পানীত।,আপুনি খোৱা ধনিয়া পানীত।
135,তেওঁ খোৱা ধনিয়া পানীত।,তুমি খোৱা ধনিয়া পানীত।
136,তুমি কি বিদ্যালয়লৈ যাও?,আপুনি কি বিদ্যালয়লৈ যাও?
136,তুমি কি বিদ্যালয়লৈ যাও?,তেওঁ কি বিদ্যালয়লৈ যাও?
136,তুমি কি বিদ্যালয়লৈ যাও?,মই কি বিদ্যালয়লৈ যাও?
136,তুমি কি বিদ্যালয়লৈ যাও?,তেওঁলোকে কি বিদ্যালয়লৈ যাও?
137,তেওঁ খোৱা ধনিয়া পানীত।,আপুনি খোৱা ধনিয়া পানীত।
137,তেওঁ খোৱা ধনিয়া পানীত।,মই খোৱা ধনিয়া পানীত।
137,তেওঁ খোৱা ধনিয়া পানীত।,তোৰ খোৱা ধনিয়া পানীত।
137,তেওঁ খোৱা ধনিয়া পানীত।,তুমি খোৱা ধনিয়া পানীত।
138,বাপেকৰ নাম ৰমেশ।,বাপেকৰ নাম ৰমেশ।
139,মৌচাকৰ মাজত মৌ থাকে।,মৌচাকৰ মাজত মৌ থাকে।
140,তুমি কি বিদ্যালয়লৈ যাও?,তেওঁলোকে কি বিদ্যালয়লৈ যাও?
140,তুমি কি বিদ্যালয়লৈ যাও?,তেওঁ কি বিদ্যালয়লৈ যাও?
140,তুমি কি বিদ্যালয়লৈ যাও?,মই কি বিদ্যালয়লৈ যাও?
141,তেওঁ খোৱা ধনিয়া পানীত।,তেওঁলোকে খোৱা ধনিয়া পানীত।
141,তেওঁ খোৱা ধনিয়া পানীত।,আপুনি খোৱা ধনিয়া পানীত।
142,তেওঁবোৰ বাগিছাত ফুল লাগিছে।,তেওঁবোৰ বাগিছাত ফুল লাগিছে।
143,বাপেকৰ নাম ৰমেশ।,বাপেকৰ নাম ৰমেশ।
144,আজিৰ দিনটো সুন্দৰ।,আজিৰ দিনটো সুন্দৰ।
145,মৌচাকৰ মাজত মৌ থাকে।,মৌচাকৰ মাজত মৌ থাকে।
146,বাপেকৰ নাম ৰমেশ।,বাপেকৰ নাম ৰমেশ।
147,আমাৰ ঘৰখন বৰ ডাঙৰ।,আমাৰ ঘৰখন বৰ ডাঙৰ।
148,মৌচাকৰ মাজত মৌ থাকে।,মৌচাকৰ মাজত মৌ থাকে।
149,আজিৰ দিনটো সুন্দৰ।,আজিৰ দিনটো সুন্দৰ।
150,ৰমা আৰু শ্যাম বিদ্যালয়লৈ গৈছিল।,ৰমা আৰু শ্যাম বিদ্যালয়লৈ গৈছিল।
151,তেওঁ খোৱা ধনিয়া পানীত।,মই খোৱা ধনিয়া পানীত।
151,তেওঁ খোৱা ধনিয়া পানীত।,আপুনি খোৱা ধনিয়া পানীত।
151,তেওঁ খোৱা ধনিয়া পানীত।,তোৰ খোৱা ধনিয়া পানীত।
151,তেওঁ খোৱা ধনিয়া পানীত।,তুমি খোৱা ধনিয়া পানীত।
152,তেওঁবোৰ বাগিছাত ফুল লাগিছে।,তেওঁবোৰ বাগিছাত ফুল লাগিছে।
153,আমাৰ ঘৰখন বৰ ডাঙৰ।,আমাৰ ঘৰখন বৰ ডাঙৰ।
154,তেওঁ খোৱা ধনিয়া পানীত।,তেওঁলোকে খোৱা ধনিয়া পানীত।
154,তেওঁ খোৱা ধনিয়া পানীত।,মই খোৱা ধনিয়া পানীত।
154,তেওঁ খোৱা ধনিয়া পানীত।,আপুনি খোৱা ধনিয়া পানীত।
155,আমাৰ ঘৰখন বৰ ডাঙৰ।,আমাৰ ঘৰখন বৰ ডাঙৰ।
156,বাপেকৰ নাম ৰমেশ।,বাপেকৰ নাম ৰমেশ।
157,তেওঁবোৰ বাগিছাত ফুল লাগিছে।,তেওঁবোৰ বাগিছাত ফুল লাগিছে।
158,মৌচাকৰ মাজত মৌ থাকে।,মৌচাকৰ মাজত মৌ থাকে।
159,তুমি কি বিদ্যালয়লৈ যাও?,তোমাৰ কি বিদ্যালয়লৈ যাও?
159,তুমি কি বিদ্যালয়লৈ যাও?,তেওঁলোকে কি বিদ্যালয়লৈ যাও?
159,তুমি কি বিদ্যালয়লৈ যাও?,আপুনি কি বিদ্যালয়লৈ যাও?
160,শিলাদিত্য এটা ভাল মানুহ।,শিলাদিত্য এটা ভাল মানুহ।
161,তেওঁবোৰ বাগিছাত ফুল লাগিছে।,তেওঁবোৰ বাগিছাত ফুল লাগিছে।
162,ৰমা আৰু শ্যাম বিদ্যালয়লৈ গৈছিল।,ৰমা আৰু শ্যাম বিদ্যালয়লৈ গৈছিল।
163,আমাৰ ঘৰখন বৰ ডাঙৰ।,আমাৰ ঘৰখন বৰ ডাঙৰ।
164,মই বিয়লি চাহ খাব।,তোমাৰ বিয়লি চাহ খাব।
164,মই বিয়লি চাহ খাব।,তেওঁলোকে বিয়লি চাহ খাব।
164,মই বিয়লি চাহ খাব।,তুমি বিয়লি চাহ খাব।
164,মই বিয়লি চাহ খাব।,তেওঁ বিয়লি চাহ খাব।
165,আমাৰ ঘৰখন বৰ ডাঙৰ।,আমাৰ ঘৰখন বৰ ডাঙৰ।
166,তুমি কি বিদ্যালয়লৈ যাও?,আপুনি কি বিদ্যালয়লৈ যাও?
166,তুমি কি বিদ্যালয়লৈ যাও?,তোমাৰ কি বিদ্যালয়লৈ যাও?
166,তুমি কি বিদ্যালয়লৈ যাও?,তেওঁ কি বিদ্যালয়লৈ যাও?
